k,topic_id,topic_label,domain_code,domain_label,subtheme_code,subtheme_label,alignment_status,overlap,alignment_strength,matched_terms,runner_up_code,runner_up_overlap,runner_up_domain,nmf_keywords,lda_keywords,top_5_nmf,lda_coherence,n_comments,pct_of_corpus
20,10,T10,B,Institutional and Course Evaluation,B1,Course evaluation,ambiguous,1,0.08,subject,,0,,class | online | pre | online class | enlisted | schedule | subject | enlist | enlistment | pre enlisted | week | start,like | time | one | help | mean | better | see | might | right | always,"class, online, pre, online class, enlisted",0.45729360299047545,1115,4.6
20,11,T11,B,Institutional and Course Evaluation,B2,Institutional policies,aligned,2,0.17,"scholarship, financial",B3,1,B,scholarship | aid | apply | financial | financial aid | ateneo | fin | fin aid | application | finaid | scholar | aid scholarship,frat | pre | sobrang | face | literally | naka | freshies | man | mahirap | statement,"scholarship, aid, apply, financial, financial aid",0.45729360299047545,709,2.9
20,12,T12,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,ambiguous,1,0.08,better,,0,,one | friend | better | work | help | experience | best | right | see | life | find | since,school | scholarship | apply | accepted | slot | passed | aid | tuition | possible | high,"one, friend, better, work, help",0.45729360299047545,4493,18.6
20,13,T13,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,aligned,2,0.17,"dlsu, benilde",B2,1,B,student | dlsu | benilde | professor | university | campus | many | number | current | admin | issue | incoming,good | admu | grade | prof | chance | best | getting | next | pas | batch,"student, dlsu, benilde, professor, university",0.45729360299047545,1219,5.0
20,14,T14,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,ambiguous,1,0.08,benilde,B2,1,B,like | nakapasa | benilde | seems | seems like | sound | feel | bad | sound like | feel like | etc | system,shift | shifting | department | stay | step | bang | ill | considering | thru | interest,"like, nakapasa, benilde, seems, seems like",0.45729360299047545,959,4.0
20,15,T15,B,Institutional and Course Evaluation,B3,Comparative institutional evaluation,ambiguous,1,0.08,admu,A2,1,A,hello | question | incoming | huhu | form | admu | freshman | hello incoming | incoming freshman | freshie | anyone | exam,university | worth | culture | free | education | outside | center | review | towards | fan,"hello, question, incoming, huhu, form",0.45729360299047545,1114,4.6
20,16,T16,?,Inductive candidate — no codebook match,?,Inductive candidate — no codebook match,inductive_candidate,0,0.0,,,0,,yes | send | long | term | free | teacher | campus | message | yes possible | omg | start | check,hello | email | result | application | letter | form | fee | huhu | anyone | pay,"yes, send, long, term, free",0.45729360299047545,594,2.5
20,17,T17,A,Faculty Performance Evaluation,A2,Grading and assessment,aligned,2,0.17,"grade, exam",B1,1,B,grade | exam | high | requirement | subject | chance | final | grade grade | math | sir | upcat | pas,yan | nag | mag | walang | hahaha | baka | pwede | nung | tapos | lahat,"grade, exam, high, requirement, subject",0.45729360299047545,976,4.0
20,18,T18,B,Institutional and Course Evaluation,B2,Institutional policies,aligned,2,0.17,"fee, tuition",,0,,fee | tuition | pay | confirmation | tuition fee | confirmation fee | reservation | reservation fee | paid | payment | pay reservation | pay confirmation,waitlisted | ever | financial | dream | engineering | decision | thought | waiting | told | status,"fee, tuition, pay, confirmation, tuition fee",0.45729360299047545,649,2.7
20,19,T19,A,Faculty Performance Evaluation,A2,Grading and assessment,ambiguous,1,0.08,exam,,0,,time | day | take | first | math | long | exam | next | first time | week | hour | part,find | org | orgs | away | grad | blue | tried | live | aircon | old,"time, day, take, first, math",0.45729360299047545,1560,6.5
